record_id,patch,result
85,WWW_batch01_register_patch.csv,applied
684,WWW_batch01_register_patch.csv,applied
39,WWW_batch01_register_patch.csv,applied
40,WWW_batch01_register_patch.csv,applied
41,WWW_batch01_register_patch.csv,applied
19,WWW_batch01_register_patch.csv,applied
21,WWW_batch01_register_patch.csv,applied
44,WWW_batch01_register_patch.csv,applied
22,WWW_batch01_register_patch.csv,applied
23,WWW_batch01_register_patch.csv,applied
24,WWW_batch01_register_patch.csv,applied
25,WWW_batch01_register_patch.csv,applied
79,WWW_batch01_register_patch.csv,applied
80,WWW_batch01_register_patch.csv,applied
78,WWW_batch01_register_patch.csv,applied
26,WWW_batch01_register_patch.csv,applied
27,WWW_batch01_register_patch.csv,applied
84,WWW_batch01_register_patch.csv,applied
89,WWW_batch01_register_patch.csv,applied
86,WWW_batch01_register_patch.csv,applied
790,WWW_batch02_register_patch.csv,applied
92,WWW_batch02_register_patch.csv,applied
94,WWW_batch02_register_patch.csv,applied
95,WWW_batch02_register_patch.csv,applied
96,WWW_batch02_register_patch.csv,applied
46,WWW_batch02_register_patch.csv,applied
47,WWW_batch02_register_patch.csv,applied
28,WWW_batch02_register_patch.csv,applied
181,WWW_batch02_register_patch.csv,applied
48,WWW_batch02_register_patch.csv,applied
182,WWW_batch02_register_patch.csv,applied
98,WWW_batch02_register_patch.csv,applied
183,WWW_batch02_register_patch.csv,applied
102,WWW_batch02_register_patch.csv,applied
103,WWW_batch02_register_patch.csv,applied
49,WWW_batch02_register_patch.csv,applied
189,WWW_batch02_register_patch.csv,applied
190,WWW_batch02_register_patch.csv,applied
186,WWW_batch02_register_patch.csv,applied
187,WWW_batch02_register_patch.csv,applied
556,WWW_batch03_register_patch.csv,applied
188,WWW_batch03_register_patch.csv,applied
50,WWW_batch03_register_patch.csv,applied
192,WWW_batch03_register_patch.csv,applied
51,WWW_batch03_register_patch.csv,applied
191,WWW_batch03_register_patch.csv,applied
193,WWW_batch03_register_patch.csv,applied
196,WWW_batch03_register_patch.csv,applied
427,WWW_batch03_register_patch.csv,applied
194,WWW_batch03_register_patch.csv,applied
114,WWW_batch03_register_patch.csv,applied
429,WWW_batch03_register_patch.csv,applied
30,WWW_batch03_register_patch.csv,applied
198,WWW_batch03_register_patch.csv,applied
430,WWW_batch03_register_patch.csv,applied
731,WWW_batch03_register_patch.csv,applied
202,WWW_batch03_register_patch.csv,applied
119,WWW_batch03_register_patch.csv,applied
201,WWW_batch03_register_patch.csv,applied
55,WWW_batch03_register_patch.csv,applied
736,WWW_batch04_register_patch.csv,applied
734,WWW_batch04_register_patch.csv,applied
203,WWW_batch04_register_patch.csv,applied
204,WWW_batch04_register_patch.csv,applied
209,WWW_batch04_register_patch.csv,applied
559,WWW_batch04_register_patch.csv,applied
558,WWW_batch04_register_patch.csv,applied
207,WWW_batch04_register_patch.csv,applied
685,WWW_batch04_register_patch.csv,applied
208,WWW_batch04_register_patch.csv,applied
210,WWW_batch04_register_patch.csv,applied
493,WWW_batch04_register_patch.csv,applied
57,WWW_batch04_register_patch.csv,applied
58,WWW_batch04_register_patch.csv,applied
791,WWW_batch04_register_patch.csv,applied
125,WWW_batch04_register_patch.csv,applied
212,WWW_batch04_register_patch.csv,applied
213,WWW_batch04_register_patch.csv,applied
215,WWW_batch04_register_patch.csv,applied
216,WWW_batch04_register_patch.csv,applied
496,WWW_batch05_register_patch.csv,applied
131,WWW_batch05_register_patch.csv,applied
560,WWW_batch05_register_patch.csv,applied
561,WWW_batch05_register_patch.csv,applied
562,WWW_batch05_register_patch.csv,applied
219,WWW_batch05_register_patch.csv,applied
61,WWW_batch05_register_patch.csv,applied
222,WWW_batch05_register_patch.csv,applied
738,WWW_batch05_register_patch.csv,applied
220,WWW_batch05_register_patch.csv,applied
221,WWW_batch05_register_patch.csv,applied
563,WWW_batch05_register_patch.csv,applied
223,WWW_batch05_register_patch.csv,applied
656,WWW_batch05_register_patch.csv,applied
741,WWW_batch05_register_patch.csv,applied
566,WWW_batch05_register_patch.csv,applied
34,WWW_batch05_register_patch.csv,applied
234,WWW_batch05_register_patch.csv,applied
686,WWW_batch05_register_patch.csv,applied
565,WWW_batch05_register_patch.csv,applied
249,WWW_batch06_register_patch.csv,applied
230,WWW_batch06_register_patch.csv,applied
231,WWW_batch06_register_patch.csv,applied
657,WWW_batch06_register_patch.csv,applied
62,WWW_batch06_register_patch.csv,applied
63,WWW_batch06_register_patch.csv,applied
233,WWW_batch06_register_patch.csv,applied
498,WWW_batch06_register_patch.csv,applied
237,WWW_batch06_register_patch.csv,applied
64,WWW_batch06_register_patch.csv,applied
238,WWW_batch06_register_patch.csv,applied
751,WWW_batch06_register_patch.csv,applied
239,WWW_batch06_register_patch.csv,applied
65,WWW_batch06_register_patch.csv,applied
687,WWW_batch06_register_patch.csv,applied
688,WWW_batch06_register_patch.csv,applied
242,WWW_batch06_register_patch.csv,applied
690,WWW_batch06_register_patch.csv,applied
244,WWW_batch06_register_patch.csv,applied
247,WWW_batch06_register_patch.csv,applied
604,WWW_batch07_register_patch.csv,applied
432,WWW_batch07_register_patch.csv,applied
262,WWW_batch07_register_patch.csv,applied
268,WWW_batch07_register_patch.csv,applied
274,WWW_batch07_register_patch.csv,applied
659,WWW_batch07_register_patch.csv,applied
794,WWW_batch07_register_patch.csv,applied
692,WWW_batch07_register_patch.csv,applied
