record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
41,Experience Grounds Language,Archival published,EMNLP 2020,https://doi.org/10.18653/v1/2020.emnlp-main.703,crossref:doi,1.0,Experience Grounds Language,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),proceedings-article,2020,10.18653/v1/2020.emnlp-main.703,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 8718-8735 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)',OK_ARCHIVAL,
90,Tool Learning with Foundation Models,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Tool Learning with Foundation Models,ACM Computing Surveys,article,2024,10.1145/3704435,https://openalex.org/W4404594861,openalex:title | openalex:title,2,1,0,,openalex:title: location[journal]='ACM Computing Surveys' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-40,OK_PREPRINT,uncorroborated OpenAlex-only archival signal ignored pending manual verification: ACM Computing Surveys
138,Automated Design of Agentic Systems,Preprint/technical report,arXiv / preprint,,openalex:title,1.0,Automated Design of Agentic Systems,,preprint,2024,10.48550/arxiv.2408.08435,https://openalex.org/W4402500863,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
186,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Poster",https://openreview.net/forum?id=G0vdDSt9XM,openalex:title,1.0,CRAFT: Customizing LLMs by Creating and Retrieving from Specialized Toolsets,,preprint,2023,10.48550/arxiv.2309.17428,https://openalex.org/W4387294587,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
234,"AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50,000+ Interaction Trajectories",Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.116,crossref:doi,0.994,AgentBank: Towards Generalized LLM Agents via Fine-Tuning on 50000+ Interaction Trajectories,Findings of the Association for Computational Linguistics: EMNLP 2024,proceedings-article,2024,10.18653/v1/2024.findings-emnlp.116,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 2124-2141 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2024',OK_ARCHIVAL,
282,SeeAct: GPT-4V__ision__ is a Generalist Web Agent if Grounded,Archival published,Proceedings of ICML,arXiv:2401.01614,datacite:arxiv,0.935,"GPT-4V(ision) is a Generalist Web Agent, if Grounded",arXiv,Preprint,2024,10.48550/arxiv.2401.01614,,datacite:arxiv | openalex:arxiv,2,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2401.01614,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
332,Agent-SAMA: State-Aware Mobile Assistant,Archival published,Proceedings of the 40th AAAI Conference on Artificial Intelligence,arXiv:2502.09980,crossref:title,1.0,Agent-SAMA: State-Aware Mobile Assistant,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2026,10.1609/aaai.v40i35.40187,,openalex:title | openalex:title | openalex:title | crossref:title,4,2,2,,openalex:title: location[conference]='Proceedings of the AAAI Conference on Artificial Intelligence' | openalex:title: DOI prefix 10.1609 (AAAI) | openalex:title: pages 29459-29467 | crossref:title: crossref type=journal-article venue='Proceedings of the AAAI Conference on Artificial Intelligence',OK_ARCHIVAL,
380,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,Archival published,Findings of the Association for Computational Linguistics: ACL 2025,arXiv:2407.01511,crossref:title,1.0,CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents,Findings of the Association for Computational Linguistics: ACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-acl.1113,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 21607-21647 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2025',OK_ARCHIVAL,
428,ML-Bench Evaluating Large Language Models and Agents for Machine Learning Tasks on Repository-Level Code,Workshop/conditional,ICLR 2025 Workshop: Towards Agentic AI for Science,arXiv:2311.09835,datacite:arxiv,1.0,ML-Bench: Evaluating Large Language Models and Agents for Machine Learning Tasks on Repository-Level Code,arXiv,Preprint,2023,10.48550/arxiv.2311.09835,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2311.09835,OK_PREPRINT,
478,Agent-E: From Autonomous Web Navigation to Foundational Design Principles in Agentic Systems,Preprint/technical report,arXiv preprint arXiv:2407.13032,,openalex:title,1.0,Agent-E: From Autonomous Web Navigation to Foundational Design Principles in Agentic Systems,,preprint,2024,10.48550/arxiv.2407.13032,https://openalex.org/W4402346179,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
526,NNetNav Unsupervised Learning of Browser Agents Through Environment Interaction in the Wild,Workshop/conditional,"Self-Improving Foundation Models Workshop, ICLR 2025",arXiv:2410.02907,datacite:arxiv,1.0,NNetNav: Unsupervised Learning of Browser Agents Through Environment Interaction in the Wild,arXiv,Preprint,2024,10.48550/arxiv.2410.02907,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.02907,OK_PREPRINT,
575,Large Language Models Empowered Personalized Web Agents,Archival published,"WWW 2025 (Oral), pp. 198–215",https://doi.org/10.1145/3696410.3714842; 2410.17236,crossref:doi,1.0,Large Language Models Empowered Personalized Web Agents,Proceedings of the ACM on Web Conference 2025,proceedings-article,2025,10.1145/3696410.3714842,,datacite:arxiv | openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,6,4,4,,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 198-215 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the ACM on Web Conference 2025' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 198-215 | crossref:title: crossref type=proceedings-article venue='Proceedings of the ACM on Web Conference 2025',VENUE_MISMATCH,"register 'WWW 2025 (Oral), pp. 198–215' vs external archival venues ['Proceedings of the ACM on Web Conference 2025']"
623,Scaling Environments for LLM Agents in the Era of Learning from Interaction: A Survey,Workshop/non-archival,NeurIPS 2025 Scaling Environments for Agents workshop,https://arxiv.org/abs/2511.09586; arXiv:2511.09586,crossref:title,1.0,Scaling Environments for LLM Agents in the Era of Learning from Interaction: A Survey,,posted-content,2025,10.36227/techrxiv.176161788.84581217/v1,,openalex:title | crossref:title,2,0,0,,crossref:title: crossref type=posted-content (preprint),OK_PREPRINT,
671,"Automating Web Data Collection: Challenges, Solutions, and Python-Based Strategies for Effective Web Scraping",Archival published,"2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",https://doi.org/10.1109/NETAPPS63333.2024.10823528,crossref:doi,1.0,"Automating Web Data Collection: Challenges, Solutions, and Python-Based Strategies for Effective Web Scraping","2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",proceedings-article,2024,10.1109/netapps63333.2024.10823528,,openalex:doi | crossref:doi,2,2,2,,"openalex:doi: DOI prefix 10.1109 (IEEE) | openalex:doi: pages 1-6 | crossref:doi: crossref type=proceedings-article venue='2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)'",OK_ARCHIVAL,
719,Mind the Web: The Security of Web Use Agents,Preprint/technical report,arXiv preprint arXiv:2506.07153,,crossref:title,1.0,Mind the Web: The Security of Web Use Agents,Proceedings of the ACM Asia Conference on Computer and Communications Security,proceedings-article,2026,10.1145/3779208.3805968,,openalex:title | crossref:title,2,2,2,,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 835-851 | crossref:title: crossref type=proceedings-article venue='Proceedings of the ACM Asia Conference on Computer and Communications Security',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the ACM Asia Conference on Computer and Communications Security'
767,The Obvious Invisible Threat LLM-Powered GUI Agents Vulnerability to Fine-Print Injections,Preprint/technical report,,,openalex:title,1.0,The Obvious Invisible Threat: LLM-Powered GUI Agents' Vulnerability to Fine-Print Injections,,preprint,2025,10.48550/arxiv.2504.11281,https://openalex.org/W4416052590,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
