record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
6,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Archival published,Advances in NeurIPS,,crossref:title,1.0,Chain-Of-Thought Prompting Elicits Reasoning in Large Language Models,Advances in Neural Information Processing Systems 35,proceedings-article,2022,10.52202/068431-1800,,openalex:title | crossref:title,2,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 24824-24837 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 35',OK_ARCHIVAL,
54,Video as the New Language for Real-World Decision Making,Preprint/technical report,arXiv preprint arXiv:2402.17139,,openalex:title,1.0,Video as the New Language for Real-World Decision Making,,preprint,2024,10.48550/arxiv.2402.17139,https://openalex.org/W4392270920,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
103,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Archival published,"The Twelfth International Conference on Learning Representations (ICLR 2024), Oral",https://openreview.net/forum?id=VtmBAGCN7o,openalex:title,1.0,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,,preprint,2023,10.48550/arxiv.2308.00352,https://openalex.org/W4385963839,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
151,Advances and Challenges in Foundation Agents From Brain-Inspired Intelligence to Evolutionary_ Collaborativ_ and Safe Systems,Preprint/technical report,"arXiv (survey/""book"")",2504.01990,datacite:arxiv,0.996,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe Systems",arXiv,Preprint,2025,10.48550/arxiv.2504.01990,,datacite:arxiv | openalex:arxiv,2,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2504.01990,OK_PREPRINT,
199,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Preprint/technical report,,2401.03428,crossref:title,1.0,"Exploring Large Language Model‐Based Intelligent Agents: Definitions, Methods, and Prospects",WIREs Data Mining and Knowledge Discovery,journal-article,2026,10.1002/widm.70111,,datacite:arxiv | openalex:title | crossref:title | crossref:title,4,3,3,,openalex:title: location[journal]='Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery' | crossref:title: crossref type=journal-article venue='WIREs Data Mining and Knowledge Discovery',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'WIREs Data Mining and Knowledge Discovery'
247,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,Archival published,"International Conference on Learning Representations (ICLR 2026), Poster",https://openreview.net/forum?id=weUP6H5Ko9,openalex:title,1.0,LLMs are Greedy Agents: Effects of RL Fine-tuning on Decision-Making Abilities,,preprint,2025,10.48550/arxiv.2504.16078,https://openalex.org/W4414634790,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
297,A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,Archival published,Proceedings of ACM SIGKDD,https://doi.org/10.1145/3711896.3736555,crossref:doi,1.0,A Survey of WebAgents: Towards Next-Generation AI Agents for Web Automation with Large Foundation Models,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,proceedings-article,2025,10.1145/3711896.3736555,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 6140-6150 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2',OK_ARCHIVAL,
345,TurkingBench A Challenge Benchmark for Web Agents,Archival published,Proceedings of the 2025 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,https://doi.org/10.18653/v1/2025.naacl-long.188,crossref:doi,1.0,TurkingBench: A Challenge Benchmark for Web Agents,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.188,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 3694-3710 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',OK_ARCHIVAL,
393,Mobile-Bench-v2 A More Realistic and Comprehensive Benchmark for VLM-based Mobile Agents,Preprint/technical report,arXiv,2505.11891,datacite:arxiv,1.0,Mobile-Bench-v2: A More Realistic and Comprehensive Benchmark for VLM-based Mobile Agents,arXiv,Preprint,2025,10.48550/arxiv.2505.11891,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2505.11891,OK_PREPRINT,
443,OmniParser for Pure Vision Based GUI Agent,Archival published,International Conference on Learning Representations,arXiv:2408.00203,datacite:arxiv,1.0,OmniParser for Pure Vision Based GUI Agent,arXiv,Preprint,2024,10.48550/arxiv.2408.00203,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2408.00203,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
491,HEAP: HIERARCHICAL POLICIES FOR,Archival accepted,COLM 2024,https://openreview.net/forum?id=5fg0VtRxgi; 2310.03720,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
539,TGPO: TREE-GUIDED PREFERENCE OPTIMIZATION FOR ROBUST WEB AGENT REINFORCEMENT LEARNING,Archival published,ICASSP,arXiv:2509.14172,crossref:title,1.0,TGPO: Tree-Guided Preference Optimization for Robust Web Agent Reinforcement Learning,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",proceedings-article,2026,10.1109/icassp55912.2026.11464574,,datacite:arxiv | openalex:title | crossref:title,3,2,2,,"openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 2476-2480 | crossref:title: crossref type=proceedings-article venue='ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)'",OK_ARCHIVAL,
588,SPA-RL Reinforcing LLM Agents via Stepwise Progress Attribution,Preprint/technical report,arXiv preprint arXiv:2505.20732,,openalex:title,1.0,SPA-RL: Reinforcing LLM Agents via Stepwise Progress Attribution,,preprint,2025,10.48550/arxiv.2505.20732,https://openalex.org/W4415036250,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
636,GUI Agents with Reinforcement Learning: Toward Digital Inhabitants,Preprint/technical report,—,https://arxiv.org/abs/2604.27955; arXiv:2604.27955,datacite:arxiv,1.0,GUI Agents with Reinforcement Learning: Toward Digital Inhabitants,arXiv,Preprint,2026,10.48550/arxiv.2604.27955,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2604.27955,OK_PREPRINT,
684,Reagent: Converting Ordinary Webpages into Interactive Software Agents,Archival published,IJCAI 2019 Demo Track,https://doi.org/10.24963/ijcai.2019/956,crossref:doi,1.0,Reagent: Converting Ordinary Webpages into Interactive Software Agents,Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence,proceedings-article,2019,10.24963/ijcai.2019/956,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.24963 (IJCAI) | openalex:doi: pages 6560-6562 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence',OK_ARCHIVAL,
732,Sleeper Agents Training Deceptive LLMs that Persist Through Safety Training,Preprint/technical report,,2401.05566,datacite:arxiv,1.0,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,arXiv,Preprint,2024,10.48550/arxiv.2401.05566,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2401.05566,OK_PREPRINT,
780,Reliable Weak-to-Strong Monitoring of LLM Agents,Archival published,International Conference on Learning Representations,arXiv:2505.08786,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
