record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
32,Hallucination of Multimodal Large Language Models: A Survey,Preprint/technical report,arXiv preprint arXiv:2404.18930,arXiv:2404.18930,datacite:arxiv,1.0,Hallucination of Multimodal Large Language Models: A Survey,arXiv,Preprint,2024,10.48550/arxiv.2404.18930,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2404.18930,OK_PREPRINT,
80,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Archival published,NeurIPS 2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/77c33e6a367922d003ff102ffb92b658-Abstract-Conference.html,crossref:title,1.0,HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1657,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 38154-38180 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
129,The Landscape of Emerging AI Agent Architectures for Reasoning Planning and Tool Calling A Survey,Preprint/technical report,arXiv / survey; uploaded duplicate,,openalex:title,1.0,"The Landscape of Emerging AI Agent Architectures for Reasoning, Planning, and Tool Calling: A Survey",,preprint,2024,10.48550/arxiv.2404.11584,https://openalex.org/W4394948161,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
177,Language Model Cascades,Preprint/technical report,"arXiv (ICML 2022 ""Beyond Bayes"" workshop, non-archival)",2207.10342,datacite:arxiv,1.0,Language Model Cascades,arXiv,Preprint,2022,10.48550/arxiv.2207.10342,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2207.10342,OK_PREPRINT,
225,AutoGRAMS Autonomous Graphical Agent Modeling Software,Preprint/technical report,,2407.10049,datacite:arxiv,1.0,AutoGRAMS: Autonomous Graphical Agent Modeling Software,arXiv,Preprint,2024,10.48550/arxiv.2407.10049,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.10049,OK_PREPRINT,
273,Caesar: Deep Agentic Web Exploration for Creative Answer Synthesis,Preprint/technical report,arXiv preprint arXiv:2604.20855,,openalex:title,1.0,Caesar: Deep Agentic Web Exploration for Creative Answer Synthesis,,article,2026,10.13140/rg.2.2.15118.22088,https://openalex.org/W7138173144,openalex:title | openalex:title | openalex:title,3,0,0,,,OK_PREPRINT,
323,GA: A Comprehensive Survey on LLM-based GUI Agent,Archival published,TechRxiv / submitted manuscript,,crossref:title,1.0,GA: A Comprehensive Survey on LLM-based GUI Agent,,posted-content,2025,10.36227/techrxiv.175322671.12208812/v1,,openalex:title | crossref:title,2,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
371,Mobile-Env Building Qualified Evaluation Benchmarks for LLM-GUI Interaction,Preprint/technical report,arXiv (CoRR),2305.08144,datacite:arxiv,1.0,Mobile-Env: Building Qualified Evaluation Benchmarks for LLM-GUI Interaction,arXiv,Preprint,2023,10.48550/arxiv.2305.08144,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2305.08144,OK_PREPRINT,
419,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,Archival published,International Conference on Learning Representations,arXiv:2504.11676,openalex:title,1.0,TheMCPCompany: Creating General-purpose Agents with Task-specific Tools,,preprint,2025,10.48550/arxiv.2510.19286,https://openalex.org/W4416246691,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
469,Smoothing Grounding and Reasoning for MLLM-Powered GUI Agents with Query-Oriented Pivot Tasks,Preprint/technical report,,2503.00401,datacite:arxiv,1.0,Smoothing Grounding and Reasoning for MLLM-Powered GUI Agents with Query-Oriented Pivot Tasks,arXiv,Preprint,2025,10.48550/arxiv.2503.00401,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title | crossref:title,7,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.00401,OK_PREPRINT,
517,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,Archival published,International Conference on Learning Representations,arXiv:2411.02337,datacite:arxiv,1.0,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,arXiv,Preprint,2024,10.48550/arxiv.2411.02337,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2411.02337,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
566,Synatra: Turning Indirect Knowledge into Direct Demonstrations for Digital Agents at Scale,Archival published,Advances in Neural Information Processing Systems 37 (NeurIPS 2024),https://doi.org/10.52202/079017-2908,crossref:doi,1.0,Synatra: Turning Indirect Knowledge into Direct Demonstrations for Digital Agents at Scale,Advances in Neural Information Processing Systems 37,proceedings-article,2024,10.52202/079017-2908,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:doi: pages 91618-91652 | crossref:doi: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 37',OK_ARCHIVAL,
614,Alloy: Generating Reusable Agent Workflows from User Demonstration,Preprint/technical report,—,https://arxiv.org/abs/2510.10049; arXiv:2510.10049,datacite:arxiv,1.0,ALLOY: Generating Reusable Agent Workflows from User Demonstration,arXiv,Preprint,2025,10.48550/arxiv.2510.10049,,datacite:arxiv,1,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.10049,OK_PREPRINT,
662,ReaderLM-v2: Small Language Model for HTML to Markdown and JSON,Preprint/technical report,arXiv preprint arXiv:2503.01151,,openalex:title,1.0,ReaderLM-v2: Small Language Model for HTML to Markdown and JSON,,preprint,2025,10.48550/arxiv.2503.01151,https://openalex.org/W4415084305,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
710,A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,Preprint/technical report,arXiv preprint arXiv:2501.00238,https://doi.org/10.48550/arXiv.2501.00238,crossref:title,1.0,A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal-article,2026,10.1109/tpami.2026.3688650,,openalex:title | crossref:title,2,2,2,openalex:doi: title mismatch 0.375 -> Angstrom-scale ionic streaming when electrical double-layer concept fails,openalex:title: location[journal]='IEEE Transactions on Pattern Analysis and Machine Intelligence' | openalex:title: DOI prefix 10.1109 (IEEE) | openalex:title: pages 1-20 | crossref:title: crossref type=journal-article venue='IEEE Transactions on Pattern Analysis and Machine Intelligence',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'IEEE Transactions on Pattern Analysis and Machine Intelligence'
758,Multi-Agent Risks from Advanced AI,Preprint/technical report,arXiv preprint arXiv:2502.14143,arXiv:2502.14143,datacite:arxiv,1.0,Multi-Agent Risks from Advanced AI,arXiv,Preprint,2025,10.48550/arxiv.2502.14143,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2502.14143,OK_PREPRINT,
807,UFO3: Weaving the Digital Agent Galaxy,Preprint/technical report,arXiv preprint arXiv:2511.11332,arXiv:2511.11332,datacite:arxiv,1.0,UFO3: Weaving the Digital Agent Galaxy,arXiv,Preprint,2025,10.48550/arxiv.2511.11332,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2511.11332,OK_PREPRINT,
