record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
45,Training Language Models with Language Feedback at Scale,Preprint/technical report,arXiv preprint arXiv:2303.16755,,openalex:title,1.0,Training Language Models with Language Feedback at Scale,,preprint,2023,10.48550/arxiv.2303.16755,https://openalex.org/W4361807044,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
94,Large Language Models as Tool Makers,Archival published,The Twelfth International Conference on Learning Representations (ICLR 2024),https://openreview.net/forum?id=qV83K9d5WB,openalex:title,1.0,Large Language Models as Tool Makers,,preprint,2023,10.48550/arxiv.2305.17126,https://openalex.org/W4378718568,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
142,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,Preprint/technical report,arXiv / Microsoft technical report,,openalex:title,1.0,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,,preprint,2024,10.48550/arxiv.2411.04468,https://openalex.org/W4404396586,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
190,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,Archival accepted,Conference on Language Modeling (COLM 2024),https://openreview.net/forum?id=7BCmIWVT0V,openalex:title,1.0,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,,preprint,2023,10.48550/arxiv.2310.00280,https://openalex.org/W4387323375,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
238,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,Archival accepted,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=sRIU6k2TcU,openalex:title,1.0,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,,preprint,2024,10.48550/arxiv.2410.12361,https://openalex.org/W4403578058,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
286,A Real-World WebAgent with Planning Long Context Understanding and Program Synthesis,Archival published,International Conference on Learning Representations,,openalex:title,1.0,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",,preprint,2023,10.48550/arxiv.2307.12856,https://openalex.org/W4385262076,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
336,A Comprehensive Survey of Agents for Computer Use,Archival published,Journal of Artificial Intelligence Research,https://doi.org/10.1613/jair.1.17178,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
384,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,Archival published,International Conference on Learning Representations,arXiv:2410.15164,datacite:arxiv,1.0,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,arXiv,Preprint,2024,10.48550/arxiv.2410.15164,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2410.15164,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
432,Computer-Use Agents as Judges for Generative User Interface,Excluded after publication-status validation,arXiv preprint; ACL Rolling Review May 2026 submission,arXiv:2511.15567,datacite:arxiv,1.0,Computer-Use Agents as Judges for Generative User Interface,arXiv,Preprint,2025,10.48550/arxiv.2511.15567,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2511.15567,OK_PREPRINT,
482,WebRollback Enhancing Web Agents with Explicit Rollback Mechanisms,Archival published,Proceedings of EACL (Short Papers),https://doi.org/10.18653/v1/2026.eacl-short.12,crossref:doi,1.0,WebRollback: Enhancing Web Agents with Explicit Rollback Mechanisms,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 2: Short Papers),proceedings-article,2026,10.18653/v1/2026.eacl-short.12,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 187-197 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 2: Short Papers)',OK_ARCHIVAL,
