record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
31,A Survey of Reasoning with Foundation Models,Preprint/technical report,arXiv preprint arXiv:2312.11562,arXiv:2312.11562,datacite:arxiv,1.0,A Survey of Reasoning with Foundation Models,arXiv,Preprint,2023,10.48550/arxiv.2312.11562,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2312.11562,OK_PREPRINT,
79,ART: Automatic Multi-step Reasoning and Tool-use for Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.190,openalex:title,1.0,ART: Automatic multi-step reasoning and tool-use for large language models,,preprint,2023,10.48550/arxiv.2303.09014,https://openalex.org/W4327810433,openalex:title,1,0,0,openalex:doi: title mismatch 0.426 -> Evaluating Large Language Models on Controlled Generation Tasks | crossref:doi: title mismatch 0.426 -> Evaluating Large Language Models on Controlled Generation Tasks,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
128,A Survey on the Memory Mechanism of Large Language Model based Agents,Preprint/technical report,arXiv / survey,,crossref:title,1.0,A Survey on the Memory Mechanism of Large Language Model-based Agents,ACM Transactions on Information Systems,journal-article,2025,10.1145/3748302,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: location[journal]='ACM Transactions on Information Systems' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-47 | crossref:title: crossref type=journal-article venue='ACM Transactions on Information Systems',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'ACM Transactions on Information Systems'
176,PlanBench An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Archival published,"NeurIPS 2023 Datasets & Benchmarks Track (NeurIPS vol. 36, pp. 38975–38987)",proceedings.neurips.cc hash 7a92bcdede88c7afd108072faf5485c8; 2206.10498,crossref:title,1.0,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1693,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: DOI prefix 10.52202 (NeurIPS/PMLR) | openalex:title: pages 38975-38987 | crossref:title: crossref type=proceedings-article venue='Advances in Neural Information Processing Systems 36',OK_ARCHIVAL,
224,AutoFlow Automated Workflow Generation for Large Language Model Agents,Preprint/technical report,,2407.12821,datacite:arxiv,1.0,AutoFlow: Automated Workflow Generation for Large Language Model Agents,arXiv,Preprint,2024,10.48550/arxiv.2407.12821,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.12821,OK_PREPRINT,
272,Beyond RAG for Agent Memory: Retrieval by Decoupling and Aggregation,Preprint/technical report,arXiv preprint arXiv:2602.02007,,openalex:title,1.0,Beyond RAG for Agent Memory: Retrieval by Decoupling and Aggregation,,preprint,2026,,https://openalex.org/W7127542495,openalex:title | openalex:title,2,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
322,Beyond Browsing API-Based Web Agents,Archival published,Findings of the Association for Computational Linguistics: ACL 2025,https://aclanthology.org/2025.findings-acl.577,crossref:title,1.0,Beyond Browsing: API-Based Web Agents,Findings of the Association for Computational Linguistics: ACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-acl.577,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 11066-11085 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: ACL 2025',OK_ARCHIVAL,
370,WebForge: Breaking the Realism-Reproducibility-Scalability Trilemma in Browser Agent Benchmark,Preprint/technical report,arXiv preprint arXiv:2604.10988,,openalex:title,1.0,WebForge: Breaking the Realism-Reproducibility-Scalability Trilemma in Browser Agent Benchmark,,preprint,2026,,https://openalex.org/W7154539012,openalex:title | openalex:title,2,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
418,MacroBench: A Novel Testbed for Web Automation Scripts via Large Language Models,Workshop/non-archival,NeurIPS 2025 Lock-LLM Workshop,2510.04363,datacite:arxiv,1.0,MacroBench: A Novel Testbed for Web Automation Scripts via Large Language Models,arXiv,Preprint,2025,10.48550/arxiv.2510.04363,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.04363,OK_PREPRINT,
468,DeskVision Large Scale Desktop Region Captioning for Advanced GUI Agents,Preprint/technical report,arXiv,2503.11170,datacite:arxiv,1.0,DeskVision: Large Scale Desktop Region Captioning for Advanced GUI Agents,arXiv,Preprint,2025,10.48550/arxiv.2503.11170,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.11170,OK_PREPRINT,
516,Can Language Models Serve as Text-Based World Simulators,Archival published,Proceedings of ACL (Short Papers),https://doi.org/10.18653/v1/2024.acl-short.1,crossref:doi,1.0,Can Language Models Serve as Text-Based World Simulators?,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),proceedings-article,2024,10.18653/v1/2024.acl-short.1,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 1-17 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)',OK_ARCHIVAL,
565,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,Archival published,Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.964,crossref:doi,1.0,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,Findings of the Association for Computational Linguistics: EMNLP 2024,proceedings-article,2024,10.18653/v1/2024.findings-emnlp.964,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 16531-16541 | crossref:doi: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: EMNLP 2024',OK_ARCHIVAL,
613,Agent Learning via Early Experience,Preprint/technical report,,2510.08558,datacite:arxiv,1.0,Agent Learning via Early Experience,arXiv,Preprint,2025,10.48550/arxiv.2510.08558,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2510.08558,OK_PREPRINT,
661,AutoScraper: A Progressive Understanding Web Agent for Web Scraper Generation,Archival published,Proceedings of EMNLP,https://doi.org/10.18653/v1/2024.emnlp-main.141,crossref:doi,1.0,AutoScraper: A Progressive Understanding Web Agent for Web Scraper Generation,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2024,10.18653/v1/2024.emnlp-main.141,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 2371-2389 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
709,WebInject Prompt Injection Attack to Web Agents,Archival published,Proceedings of EMNLP,https://doi.org/10.18653/v1/2025.emnlp-main.104,crossref:doi,1.0,WebInject: Prompt Injection Attack to Web Agents,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2025,10.18653/v1/2025.emnlp-main.104,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 2010-2030 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
757,Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,Archival published,Proceedings of the 33rd ACM International Conference on Multimedia,https://doi.org/10.1145/3664647.3680685,crossref:title,1.0,Evaluating the Robustness of Multimodal Agents Against Active Environmental Injection Attacks,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,2025,10.1145/3746027.3755646,,openalex:title | openalex:title | crossref:title,3,2,2,openalex:doi: title mismatch 0.251 -> FiLo: Zero-Shot Anomaly Detection by Fine-Grained Description and High-Quality Localization | crossref:doi: title mismatch 0.251 -> FiLo: Zero-Shot Anomaly Detection by Fine-Grained Description and High-Quality Localization,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 11648-11656 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 33rd ACM International Conference on Multimedia',OK_ARCHIVAL,
806,Promoting Sustainable Web Agents Benchmarking and Estimating Energy Consumption Through Empirical and Theoretical Analysis,Preprint/technical report,arXiv preprint arXiv:2511.04481,,crossref:title,1.0,Promoting Sustainable Web Agents: Benchmarking and Estimating Energy Consumption Through Empirical and Theoretical Analysis,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2026,10.1609/aaai.v40i45.41221,,openalex:title | openalex:title | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: location[conference]='Proceedings of the AAAI Conference on Artificial Intelligence' | openalex:title: DOI prefix 10.1609 (AAAI) | openalex:title: pages 38772-38780 | crossref:title: crossref type=journal-article venue='Proceedings of the AAAI Conference on Artificial Intelligence',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the AAAI Conference on Artificial Intelligence'
