record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
25,Multimodal Chain-of-Thought Reasoning in Language Models,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=y1pPWFVfvR,crossref:title,1.0,Multimodal Chain-of-Thought Reasoning in Language Models,,posted-content,2025,10.59350/90sh1-hbs94,,openalex:title | openalex:title | openalex:title | crossref:title | crossref:title | crossref:title | crossref:title,7,0,0,,crossref:title: crossref type=posted-content (preprint),DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
73,Cognitive Architectures for Language Agents,Archival published,TMLR,arXiv:2309.02427,datacite:arxiv,1.0,Cognitive Architectures for Language Agents,arXiv,Preprint,2023,10.48550/arxiv.2309.02427,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2309.02427,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
122,Understanding the planning of LLM agents A survey,Preprint/technical report,arXiv / survey,,openalex:title,1.0,Understanding the planning of LLM agents: A survey,,preprint,2024,10.48550/arxiv.2402.02716,https://openalex.org/W4391620956,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
170,"Memory in the Age of AI Agents: A Survey Forms, Functions and Dynamics",Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
218,AI-native Memory: A Pathway from LLMs Towards AGI,Preprint/technical report,,2406.18312,datacite:arxiv,1.0,AI-native Memory: A Pathway from LLMs Towards AGI,arXiv,Preprint,2024,10.48550/arxiv.2406.18312,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.18312,OK_PREPRINT,
266,Scaling Long-Horizon LLM Agent via Context-Folding,Preprint/technical report,arXiv preprint arXiv:2510.11967,,openalex:title,1.0,Scaling Long-Horizon LLM Agent via Context-Folding,,preprint,2025,10.48550/arxiv.2510.11967,https://openalex.org/W4415257590,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
316,"AI Agents for Computer Use: A Review of Instruction-based Computer Control, GUI Automation, and Operator Assistants",Preprint/technical report,arXiv,2501.16150,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
364,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,Archival published,Proceedings of the ACM Web Conference 2026,arXiv:2602.12315,crossref:title,1.0,AgenticShop: Benchmarking Agentic Product Curation for Personalized Web Shopping,Proceedings of the ACM Web Conference 2026,proceedings-article,2026,10.1145/3774904.3792724,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | openalex:title | crossref:title,6,2,2,,openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 2489-2500 | crossref:title: crossref type=proceedings-article venue='Proceedings of the ACM Web Conference 2026',OK_ARCHIVAL,
412,MCPMark: A Benchmark for Stress-Testing Realistic and Comprehensive MCP Use,Preprint/technical report,arXiv preprint arXiv:2509.24002,,openalex:title,1.0,MCPMark: A Benchmark for Stress-Testing Realistic and Comprehensive MCP Use,,preprint,2025,10.48550/arxiv.2509.24002,https://openalex.org/W4415335901,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,Archival published,International Conference on Learning Representations,arXiv:2406.10819,datacite:arxiv,1.0,GUI-World: A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,arXiv,Preprint,2024,10.48550/arxiv.2406.10819,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2406.10819,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
510,Web World Models,Preprint/technical report,arXiv preprint arXiv:2512.23676,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
559,Trial and Error: Exploration-Based Trajectory Optimization for LLM Agents,Archival published,"Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (ACL 2024), Long Papers, pages 7584–7600",https://doi.org/10.18653/v1/2024.acl-long.409,crossref:doi,0.979,Trial and Error: Exploration-Based Trajectory Optimization of LLM Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.409,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 7584-7600 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',OK_ARCHIVAL,
607,Online Process Reward Learning for Agentic Reinforcement Learning,Preprint/technical report,—,https://arxiv.org/abs/2509.19199; arXiv:2509.19199,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
655,"The Amazing Agent Race: Strong Tool Users, Weak Navigators",Preprint/technical report,arXiv preprint arXiv:2604.10261,,openalex:title,1.0,"The Amazing Agent Race: Strong Tool Users, Weak Navigators",,preprint,2026,,https://openalex.org/W7154539520,openalex:title | openalex:title,2,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
703,SafeArena Evaluating the Safety of Autonomous Web Agents,Archival published,Proceedings of the 42nd International Conference on Machine Learning,arXiv:2503.04957,datacite:arxiv,1.0,SafeArena: Evaluating the Safety of Autonomous Web Agents,arXiv,Preprint,2025,10.48550/arxiv.2503.04957,,datacite:arxiv,1,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2503.04957,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
751,Navigating the Risks: A Survey of Security and Privacy Threats in LLM-Based Agents,Archival published,ACM Transactions on Software Engineering and Methodology,https://doi.org/10.1145/3807666,crossref:doi,1.0,Navigating the Risks: A Survey of Security and Privacy Threats in LLM-Based Agents,ACM Transactions on Software Engineering and Methodology,journal-article,2026,10.1145/3807666,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: location[journal]='ACM Transactions on Software Engineering and Methodology' | openalex:doi: DOI prefix 10.1145 (ACM) | crossref:doi: crossref type=journal-article venue='ACM Transactions on Software Engineering and Methodology',OK_ARCHIVAL,
799,CowPilot A Framework for Autonomous and Human-Agent Collaborative Web Navigation,Archival published,Proceedings of NAACL (System Demonstrations),https://doi.org/10.18653/v1/2025.naacl-demo.17,crossref:doi,1.0,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (System Demonstrations),proceedings-article,2025,10.18653/v1/2025.naacl-demo.17,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 163-172 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (System Demonstrations)',OK_ARCHIVAL,
