record_id,title,register_status,register_venue,register_identifier,identifier_host,direct_authoritative_identifier,machine_verdict,machine_notes,found_title,found_venue,found_year,found_doi,candidate_sources,archival_evidence,suspicious_ok_preprint,priority,adjudication_decision,authoritative_evidence_url,authoritative_evidence_note,adjudicated_by,adjudicated_at,b2_bucket
60,"Are Long-LLMs A Necessity For Long-Context Tasks: Hongjin Qian1,2, Zheng Liu2∗, Peitian Zhang1, Kelong Mao1, Yujia Zhou1",Preprint/technical report,arXiv preprint arXiv:2405.15318,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
118,PreAct: Predicting Future in ReAct Enhances Agent’s Planning Ability,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
127,THE LANDSCAPE OF EMERGING AI AGENT ARCHITECTURES,Preprint/technical report,arXiv (tech report),2404.11584,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
146,Agentic Reasoning: Reasoning LLMs with Tools for the Deep Research,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
150,API Agents vs. GUI Agents: Divergence and Convergence,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
152,Advances and Challenges in Foundation Agents,Preprint/technical report,arXiv book/survey; uploaded duplicate,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
158,Deep Research Agents: A Systematic Examination And Roadmap,Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
165,Beyond Pipelines: A Survey of the Paradigm Shift toward Model-Native Agentic AI,Preprint/technical report,arXiv / survey with journal-style template,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
166,Experience-Driven Exploration for Efficient API-Free AI Agents,Preprint/technical report,arXiv / preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
170,"Memory in the Age of AI Agents: A Survey Forms, Functions and Dynamics",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
172,"AI Agent Systems: Architectures, Applications, and Evaluation",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
174,"Toward Efficient Agents: Memory, Tool learning, and Planning",Preprint/technical report,arXiv / survey,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
251,OTC: Optimal Tool Calls via Reinforcement Learning,Preprint/technical report,arXiv,2504.14870,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
252,Towards Agentic RAG with Deep Reasoning: A Survey of RAG-Reasoning Systems in LLMs,Preprint/technical report,arXiv preprint,,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
254,A Comprehensive Survey of Self-Evolving AI Agents,Preprint/technical report,arXiv,2508.07407,,no,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually",,,,,,,no,B2,PENDING,,,,,REGISTER_PREPRINT
