record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
27,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Archival published,EMNLP 2023,https://doi.org/10.18653/v1/2023.emnlp-main.557,crossref:doi,1.0,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2023,10.18653/v1/2023.emnlp-main.557,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 9004-9017 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing',OK_ARCHIVAL,
75,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Archival published,Proceedings of ICML,,openalex:title,1.0,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,,preprint,2023,10.48550/arxiv.2310.04406,https://openalex.org/W4389422760,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
124,KnowAgent Knowledge-Augmented Planning for LLM-Based Agents,Preprint/technical report,arXiv / preprint,,crossref:title,1.0,KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents,Findings of the Association for Computational Linguistics: NAACL 2025,proceedings-article,2025,10.18653/v1/2025.findings-naacl.205,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 3709-3732 | crossref:title: crossref type=proceedings-article venue='Findings of the Association for Computational Linguistics: NAACL 2025',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Findings of the Association for Computational Linguistics: NAACL 2025'
172,"AI Agent Systems: Architectures, Applications, and Evaluation",Preprint/technical report,arXiv / survey,,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
220,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",Archival published,"Proceedings of the 31st International Conference on Computational Linguistics (COLING 2025), pages 9760–9779",https://aclanthology.org/2025.coling-main.658/,openalex:title,1.0,"A Review of Prominent Paradigms for LLM-Based Agents: Tool Use (Including RAG), Planning, and Feedback Learning",,preprint,2024,10.48550/arxiv.2406.05804,https://openalex.org/W4399555153,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
268,AgentOCR: Reimagining Agent History via Optical Self-Compression,Archival published,"Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics, Volume 1: Long Papers",https://doi.org/10.18653/v1/2026.acl-long.230,crossref:doi,1.0,AgentOCR: Reimagining Agent History via Optical Self-Compression,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2026,10.18653/v1/2026.acl-long.230,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 5067-5086 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',OK_ARCHIVAL,
318,ReachAgent Enhancing Mobile Agent via Page Reaching and Operation,Archival published,Proceedings of the 2025 Conference of the North American Chapter of the Association for Computational Linguistics,arXiv:2504.04860,crossref:title,1.0,ReachAgent: Enhancing Mobile Agent via Page Reaching and Operation,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.naacl-long.244,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 4760-4775 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)',OK_ARCHIVAL,
366,PATHWAYS: Evaluating Investigation and Context Discovery in AI Web Agents,Preprint/technical report,arXiv preprint arXiv:2602.05354,https://doi.org/10.48550/arXiv.2602.05354,unresolved,,,,,,,,,0,0,0,openalex:doi: title mismatch 0.379 -> Do Web Agents Investigate Before They Decide?,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
414,SCUBA: Salesforce Computer Use Benchmark,Preprint/technical report,,2509.26506,datacite:arxiv,1.0,SCUBA: Salesforce Computer Use Benchmark,arXiv,Preprint,2025,10.48550/arxiv.2509.26506,,datacite:arxiv,1,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2509.26506,OK_PREPRINT,
464,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,Archival published,Proceedings of IJCAI,https://doi.org/10.24963/ijcai.2024/339,openalex:title,1.0,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,,preprint,2024,10.48550/arxiv.2402.04615,https://openalex.org/W4391673080,openalex:title,1,0,0,openalex:doi: title mismatch 0.137 -> App2Exa: Accelerating Exact kNN Search via Dynamic Cache-Guided Approximation | crossref:doi: title mismatch 0.137 -> App2Exa: Accelerating Exact kNN Search via Dynamic Cache-Guided Approximation,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
512,World-Model-Augmented Web Agents with Action Correction,Preprint/technical report,arXiv preprint arXiv:2602.15384,,openalex:title,1.0,World-Model-Augmented Web Agents with Action Correction,,preprint,2026,,https://openalex.org/W7130482220,openalex:title | openalex:title,2,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
561,Navigating WebAI: Training Agents to Complete Web Tasks with Large Language Models and Reinforcement Learning,Archival published,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing (SAC 2024),https://doi.org/10.1145/3605098.3635903,crossref:doi,1.0,Navigating WebAI: Training Agents to Complete Web Tasks with Large Language Models and Reinforcement Learning,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,proceedings-article,2024,10.1145/3605098.3635903,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 866-874 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing',OK_ARCHIVAL,
609,Reinforcement Learning Foundations for Deep Research Systems: A Survey,Preprint/technical report,—,https://arxiv.org/abs/2509.06733; arXiv:2509.06733,datacite:arxiv,1.0,Reinforcement Learning Foundations for Deep Research Systems: A Survey,arXiv,Preprint,2025,10.48550/arxiv.2509.06733,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2509.06733,OK_PREPRINT,
657,Reflection-Bench: Evaluating Epistemic Agency in Large Language Models,Archival published,"Proceedings of the 42nd International Conference on Machine Learning (ICML 2025), PMLR 267",https://proceedings.mlr.press/v267/li25cu.html,openalex:title,1.0,Reflection-Bench: Evaluating Epistemic Agency in Large Language Models,,preprint,2024,10.48550/arxiv.2410.16270,https://openalex.org/W4404089450,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
705,A Survey on the Safety and Security Threats of Computer-Using Agents: JARVIS or Ultron,Preprint/technical report,arXiv preprint arXiv:2505.10924,,openalex:title,1.0,A Survey on the Safety and Security Threats of Computer-Using Agents: JARVIS or Ultron?,,preprint,2025,10.48550/arxiv.2505.10924,https://openalex.org/W4417093260,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
753,The Task Shield Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Preprint/technical report,arXiv preprint arXiv:2412.16682,arXiv:2412.16682,crossref:title,1.0,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.1435,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title | crossref:title,5,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 29680-29697 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',UPGRADE,register 'Preprint/technical report'; strong archival evidence 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
801,"Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents [MERGED: consolidates former duplicate row #802, ""AgentAB"" title variant — confirmed same paper]",Archival published,ACM CHI 2026 Extended Abstracts,https://doi.org/10.1145/3772363.3799039; 2504.09723,unresolved,,,,,,,,,0,0,0,openalex:doi: title mismatch 0.669 -> Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents | crossref:doi: title mismatch 0.669 -> Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
