record_id,title,register_status,register_venue,register_identifier,resolved_via,title_match,found_title,found_venue,found_type,found_year,found_doi,openalex_id,candidate_sources,candidate_count,archival_candidate_count,strong_archival_candidate_count,rejected_title_mismatches,archival_evidence,VERDICT,notes
38,A Survey of Frontiers in LLM Reasoning Inference Scaling Learning to Reason and Agentic Systems,Archival published,Transactions on Machine Learning Research,https://openreview.net/forum?id=frontierslLMreasoning,openalex:title,1.0,"A Survey of Frontiers in LLM Reasoning: Inference Scaling, Learning to Reason, and Agentic Systems",,preprint,2025,10.48550/arxiv.2504.09037,https://openalex.org/W4415154470,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
86,Generative Agents: Interactive Simulacra of Human Behavior,Archival published,UIST 2023,https://doi.org/10.1145/3586183.3606763,crossref:doi,1.0,Generative Agents: Interactive Simulacra of Human Behavior,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,proceedings-article,2023,10.1145/3586183.3606763,,openalex:doi | crossref:doi | openalex:title | openalex:title | crossref:title,5,4,4,,openalex:doi: DOI prefix 10.1145 (ACM) | openalex:doi: pages 1-22 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology' | openalex:title: DOI prefix 10.1145 (ACM) | openalex:title: pages 1-22 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology',VENUE_MISMATCH,register 'UIST 2023' vs external archival venues ['Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology']
135,AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Unconfirmed,ACL 2024 / benchmark paper likely; verify before final citation,,crossref:title,1.0,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.850,,openalex:title | openalex:title | crossref:title,3,2,2,,openalex:title: DOI prefix 10.18653 (ACL Anthology) | openalex:title: pages 16022-16076 | crossref:title: crossref type=proceedings-article venue='Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)',UPGRADE,register 'Unconfirmed'; strong archival evidence 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
183,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,Archival published,"Transactions of the Association for Computational Linguistics, Volume 12, pages 484-506",https://doi.org/10.1162/tacl_a_00660,openalex:doi,1.0,Automatically Correcting Large Language Models: Surveying the Landscape of Diverse Automated Correction Strategies,Transactions of the Association for Computational Linguistics,article,2024,10.1162/tacl_a_00660,https://openalex.org/W4396665924,openalex:doi | crossref:doi,2,2,2,,openalex:doi: location[journal]='Transactions of the Association for Computational Linguistics' | openalex:doi: DOI prefix 10.1162 (MIT Press) | openalex:doi: pages 484-506 | crossref:doi: crossref type=journal-article venue='Transactions of the Association for Computational Linguistics',OK_ARCHIVAL,
231,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,Archival published,Proceedings of the 28th Conference on Computational Natural Language Learning (CoNLL 2024),https://doi.org/10.18653/v1/2024.conll-1.33,crossref:doi,1.0,PRACT: Optimizing Principled Reasoning and Acting of LLM Agent,Proceedings of the 28th Conference on Computational Natural Language Learning,proceedings-article,2024,10.18653/v1/2024.conll-1.33,,openalex:doi | crossref:doi,2,2,2,,openalex:doi: DOI prefix 10.18653 (ACL Anthology) | openalex:doi: pages 442-446 | crossref:doi: crossref type=proceedings-article venue='Proceedings of the 28th Conference on Computational Natural Language Learning',OK_ARCHIVAL,
279,World of Bits: An Open-Domain Platform for Web-Based Agents,Archival published,Proceedings of ICML,,openalex:title,1.0,World of Bits: An Open-Domain Platform for Web-Based Agents,International Conference on Machine Learning,conference-paper,2017,,https://openalex.org/W2741548518,openalex:title,1,1,1,,openalex:title: location[conference]='International Conference on Machine Learning' | openalex:title: pages 3135-3144,OK_ARCHIVAL,
329,Are LLM Agents the New RPA: A Comparative Study with RPA Across Enterprise Workflows,Preprint/technical report,arXiv:2502.01354,arXiv:2502.01354,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
377,AI Agents That Matter,Archival published,TMLR,arXiv:2407.01502,datacite:arxiv,1.0,AI Agents That Matter,arXiv,Preprint,2024,10.48550/arxiv.2407.01502,,datacite:arxiv | openalex:arxiv | openalex:title,3,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2407.01502,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
425,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,Archival accepted,ICML 2026 (Proc. 43rd Int. Conf. on Machine Learning; Poster),https://icml.cc/ (2026 proceedings); 2604.10938,datacite:arxiv,1.0,AgentWebBench: Benchmarking Multi-Agent Coordination in Agentic Web,arXiv,Preprint,2026,10.48550/arxiv.2604.10938,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2604.10938,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
475,From User Interface to Agent Interface: Efficiency Optimization of UI Representations for LLM Agents,Preprint/technical report,arXiv preprint arXiv:2512.13438,,openalex:title,1.0,From User Interface to Agent Interface: Efficiency Optimization of UI Representations for LLM Agents,,preprint,2025,10.48550/arxiv.2512.13438,https://openalex.org/W4417458454,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
523,NNetscape Navigator: Complex Demonstrations for Web Agents Without a Demonstrator,Preprint/technical report,arXiv (ICLR 2025 submission withdrawn),2410.02907,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
572,Mobile-Agent-V A Video-Guided Approach for Effortless and Efficient Operational Knowledge Injection in Mobile Automation,Preprint/technical report,arXiv,2505.13887,datacite:arxiv,1.0,Mobile-Agent-V: A Video-Guided Approach for Effortless and Efficient Operational Knowledge Injection in Mobile Automation,arXiv,Preprint,2025,10.48550/arxiv.2505.13887,,datacite:arxiv | openalex:arxiv | openalex:title | openalex:title,4,0,0,,datacite:arxiv: DataCite arXiv DOI 10.48550/arXiv.2505.13887,OK_PREPRINT,
620,The Unreasonable Effectiveness of Scaling Agents for Computer Use,Preprint/technical report,arXiv (Simular),2510.02250,unresolved,,,,,,,,,0,0,0,,,NO_MATCH,"no title-consistent match in DataCite, OpenAlex, Crossref, or DBLP; verify manually"
668,An Index-based Approach for Efficient and Effective Web Content Extraction,Preprint/technical report,arXiv preprint arXiv:2512.06641,,openalex:title,1.0,An Index-based Approach for Efficient and Effective Web Content Extraction,,preprint,2025,10.48550/arxiv.2512.06641,https://openalex.org/W7110903642,openalex:title | openalex:title,2,0,0,,openalex:title: OpenAlex type=preprint,OK_PREPRINT,
716,HackWorld: EVALUATING COMPUTER-USE AGENTS ON EXPLOITING WEB APPLICATION VULNERABILITIES,Archival published,International Conference on Learning Representations,arXiv:2501.16500,openalex:title,1.0,HackWorld: Evaluating Computer-Use Agents on Exploiting Web Application Vulnerabilities,,preprint,2025,10.48550/arxiv.2510.12200,https://openalex.org/W4415269809,openalex:title,1,0,0,,openalex:title: OpenAlex type=preprint,DOWNGRADE,register claims archival; no strong title-consistent archival evidence found
